rank,refresh_risk_score,action,content_age_days,days_since_last_update,impressions_90d,ctr,avg_position
1,0.8482593190568428,Review first,140,8,767,0.0,3.0
2,0.8317636236967124,Review first,148,8,4908,0.06,29.1
3,0.8287549894008063,Review first,140,8,405,0.0,10.6
4,0.8254835185908459,Review first,140,8,682,0.15,15.1
5,0.8149135962816316,Review first,140,8,868,0.0,13.7
6,0.8147658249451897,Review first,140,8,337,0.0,13.9
7,0.8062904882725023,Review first,140,8,711,0.0,41.7
8,0.8054801060631772,Review first,112,20,369,0.0,21.8
9,0.8051383069936761,Review first,125,20,2305,0.0,12.3
10,0.8032846180484767,Review first,117,20,312,0.0,12.8
11,0.7991679397423158,Review first,112,20,7344,0.2,2.8
12,0.7978907565013376,Review first,134,20,3026,0.0,35.9
13,0.7972599474424993,Review first,92,20,372,0.0,7.6
14,0.7970661178535736,Review first,125,20,1326,0.08,9.7
15,0.7963964084494741,Review first,125,20,1184,0.0,10.4
16,0.7959163396309268,Review first,92,20,740,0.14,17.5
17,0.7953443846460264,Review first,175,20,524,0.0,15.1
18,0.7948445377930162,Review first,117,20,1389,0.0,10.8
19,0.7944928017743728,Review first,140,8,450,0.0,8.5
20,0.7943960721496474,Review first,105,105,1482,0.0,12.9
21,0.7933225575504401,Review first,92,20,964,0.1,14.4
22,0.7929746497638963,Review first,140,8,573,0.17,31.0
23,0.7891950481421509,Review first,117,20,2252,0.18,2.8
24,0.7881841165044682,Review first,125,20,2561,0.04,18.1
25,0.7869106582269643,Review first,92,20,493,0.0,10.5
26,0.7861521076644554,Review first,97,20,578,0.0,18.1
27,0.7855865971038501,Review first,104,20,368,0.0,31.5
28,0.7839046921079419,Review first,112,20,324,0.0,14.5
29,0.7834314957682069,Review first,92,20,1123,0.09,11.4
30,0.783161003115251,Review first,148,8,1703,0.0,19.4
31,0.782162137092731,Review first,175,20,295,0.0,17.3
32,0.7819388032416211,Review first,140,8,1914,0.1,20.3
33,0.7818616632361219,Review first,175,20,6250,0.11,13.3
34,0.7814849878531941,Review first,97,20,547,0.0,7.1
35,0.7814396155971667,Review first,134,20,421,0.0,13.5
36,0.7812478424876151,Review first,144,20,1647,0.18,22.4
37,0.7796782229291255,Review first,140,8,2619,0.08,9.1
38,0.7796084934084191,Review first,140,8,129,0.0,46.1
39,0.7788827219847819,Review first,125,20,515,0.0,10.5
40,0.7787542134316309,Review first,117,20,3160,0.03,24.3
41,0.7785586625911997,Review first,125,20,1076,0.09,25.6
42,0.7785445087905336,Review first,125,20,1243,0.0,15.1
43,0.7781685414383407,Review first,347,104,596,0.0,6.5
44,0.7779390029835557,Review first,97,20,398,0.0,5.6
45,0.7774069820263019,Review first,140,8,886,0.0,10.5
46,0.7771993538716582,Review first,112,20,352,0.0,11.9
47,0.7771157338381292,Review first,125,20,784,0.0,7.4
48,0.77643995345427,Review first,92,20,686,0.0,7.3
49,0.7762890728993619,Review first,104,20,761,0.39,25.1
50,0.7754017778724708,Review first,117,20,603,0.0,14.0
